bairro_group,bairro,room_type,price,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
Brooklyn,Clinton Hill,Entire home/apt,89.0,1.0,78.0,4.64,1.0,194.0
Manhattan,Hell's Kitchen,Private room,79.0,2.0,78.0,3.47,1.0,220.0
Manhattan,Chinatown,Entire home/apt,150.0,1.0,160.0,1.33,2.0,188.0
Manhattan,Harlem,Private room,52.0,2.0,88.0,1.42,1.0,255.0
Manhattan,Lower East Side,Shared room,40.0,1.0,78.0,1.81,2.0,188.0
Manhattan,East Village,Private room,68.0,2.0,78.0,2.08,2.0,96.0
Queens,Long Island City,Private room,130.0,3.0,78.0,2.25,1.0,215.0
Brooklyn,Fort Greene,Private room,80.0,3.0,135.0,1.16,2.0,192.0
Brooklyn,Bedford-Stuyvesant,Private room,80.0,1.0,112.0,1.01,3.0,251.0
Brooklyn,Greenpoint,Entire home/apt,144.0,2.0,78.0,2.82,1.0,234.0
Manhattan,Hell's Kitchen,Private room,52.0,3.0,78.0,1.65,1.0,191.0
Manhattan,East Harlem,Entire home/apt,225.0,4.0,78.0,1.64,1.0,215.0
Brooklyn,Fort Greene,Private room,95.0,3.0,143.0,1.28,1.0,132.0
Brooklyn,Prospect Heights,Entire home/apt,131.0,4.0,166.0,3.4,1.0,207.0
Brooklyn,Williamsburg,Entire home/apt,100.0,5.0,168.0,1.57,1.0,168.0
Brooklyn,Williamsburg,Private room,101.0,3.0,78.0,3.02,1.0,152.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125.0,3.0,162.0,1.46,2.0,137.0
Manhattan,Hell's Kitchen,Private room,59.0,2.0,78.0,3.0,2.0,279.0
Brooklyn,South Slope,Entire home/apt,120.0,3.0,78.0,4.22,2.0,192.0
Brooklyn,Williamsburg,Entire home/apt,169.0,3.0,78.0,3.01,1.0,107.0
Manhattan,Harlem,Entire home/apt,120.0,3.0,155.0,1.42,3.0,213.0
Brooklyn,Clinton Hill,Private room,89.0,3.0,78.0,2.35,1.0,278.0
Brooklyn,Greenpoint,Private room,50.0,3.0,78.0,1.86,1.0,168.0
Brooklyn,Clinton Hill,Private room,76.0,2.0,78.0,3.89,3.0,275.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125.0,3.0,78.0,2.09,2.0,163.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115.0,3.0,124.0,1.72,2.0,170.0
Brooklyn,Williamsburg,Entire home/apt,195.0,4.0,78.0,2.19,1.0,214.0
Brooklyn,Williamsburg,Private room,80.0,3.0,78.0,1.86,2.0,262.0
Brooklyn,Fort Greene,Private room,44.0,3.0,27.0,1.05,2.0,280.0
Manhattan,Upper East Side,Entire home/apt,99.0,1.0,78.0,2.6,2.0,164.0
Brooklyn,Gowanus,Entire home/apt,250.0,2.0,80.0,2.17,1.0,168.0
Brooklyn,Williamsburg,Entire home/apt,150.0,2.0,78.0,1.78,1.0,177.0
Manhattan,Financial District,Entire home/apt,196.0,3.0,114.0,1.06,1.0,168.0
Brooklyn,Fort Greene,Private room,65.0,2.0,78.0,1.92,2.0,168.0
Manhattan,Morningside Heights,Private room,99.0,4.0,122.0,1.18,2.0,233.0
Manhattan,Lower East Side,Entire home/apt,299.0,2.0,109.0,1.04,1.0,207.0
Brooklyn,South Slope,Entire home/apt,135.0,5.0,151.0,1.43,3.0,162.0
Brooklyn,Williamsburg,Entire home/apt,249.0,2.0,78.0,3.44,2.0,164.0
Brooklyn,Prospect Heights,Private room,100.0,2.0,78.0,2.12,3.0,250.0
Manhattan,Harlem,Entire home/apt,121.0,1.0,104.0,1.0,2.0,247.0
Manhattan,East Harlem,Private room,100.0,5.0,78.0,1.92,1.0,192.0
Brooklyn,Williamsburg,Entire home/apt,140.0,2.0,78.0,3.04,1.0,125.0
Manhattan,East Village,Entire home/apt,130.0,1.0,78.0,2.04,1.0,192.0
Manhattan,Harlem,Private room,64.0,1.0,78.0,1.84,2.0,245.0
Brooklyn,Cobble Hill,Entire home/apt,159.0,2.0,78.0,2.12,1.0,279.0
Manhattan,East Village,Entire home/apt,189.0,3.0,78.0,1.96,1.0,168.0
Manhattan,Flatiron District,Entire home/apt,305.0,2.0,108.0,1.09,1.0,201.0
Manhattan,Harlem,Entire home/apt,155.0,3.0,78.0,2.1,2.0,232.0
Manhattan,Harlem,Private room,60.0,1.0,78.0,4.58,2.0,258.0
Manhattan,Harlem,Private room,92.0,1.0,78.0,1.82,2.0,253.0
Manhattan,East Harlem,Entire home/apt,140.0,3.0,135.0,1.3,3.0,192.0
Staten Island,Tompkinsville,Private room,37.0,2.0,147.0,1.44,2.0,168.0
